essay,score
"(가)에 따르면 경쟁은 인간과 분리해낼 수 없다. 다시 말해 경쟁은 역사상 인간에게 필수적인 요소이다. 또한 부정적 통념과는 다르게 긍정적 상호작용을 유발한다는 점에서 순기능을 강조하며 올바르게 경쟁하는 방식에 대해 생각 할 것을 요구한다. 한편 이와 달리 (나)는 많은 생물들이 실제로 경쟁하기보다는 공존의 전략을 추구함에 집중한다. 균류와 조류가 상호의존하여 지의류로 더불어 살듯이 각각의 다양성을 인정하고 함께 살아가는 삶을 강조하는 것이다. 즉 (가)는 경쟁의 장점을 , (나)는 경쟁보다는 공존의 대안을 제시함에 따라 경쟁에 대한 견해가 다르게 나타난다.",3
" (가)에서의 ‘경쟁’은 인간의 본능이며, 불가피한 것이다. 경쟁이 꼭 인간관계를 해치는 것은 아니다. 이것은 경쟁에 대한 오해이며, 경쟁은 서로를 인정하고 각자의 노력과 의욕을 한층 더 이끌어내는 긍정적 상호작용이라 할 수 있다. 따라서 경쟁의 긍정적인 힘을 배우고 활용하는 지혜가 필요하다.
 (나)에서는 사람들은 경쟁 구도를 설명할 때 진화론을 언급하지만, 진화론에 대해 오해가 있다. 생물은 서로 싸움을 벌이기보다는 서로 공존하는 방식을 찾는다. 예를 들어 여성 생물학자 ‘린 마굴리스’의 공생 진화론에 따르면, 생명체는 경쟁보다는 상부상조 전략을 추구한다. 이처럼 진화론은 태생부터 경쟁보다는 공존의 논리에 바탕을 둔다.",2
" 제시문 (가)와 (나)는 경쟁을 불가피한 것으로 본다는 공통점을 가지고 있다. 제시문 (가)에서 경쟁은 긍정적 상호작용이라고 본다. 또한 인간사회는 늘 경쟁사회였기에 사람들은 경쟁 여부가 아닌 공정한 경쟁을 추구하는 방식을 고민해야 한다고 주장하며 경쟁을 긍정하고 있다.
 반면 제시문 (나)는 (가)와 달리 다윈의 견해를 토대로 경쟁보다는 다양성을 위한 공존을 강조한다. 이들은 린 마굴리스의 공생 진화론을 근거로 상부상조 전략을 내세우며 경쟁과 반대되는 다양성과 공존이 최대 가치가 되는 사회가 올 것이라고 주장한다.",4
" 제시문 (가)와 (나)는 모두 생존을 위한 경쟁은 필연적이라고 말한다. 그러나 바람직한 생존 방식으로 제시문 (가)는 경쟁을, 제시문 (나)는 공생을 강조한다는 점에서 차이가 있다. 먼저 제시문 (가)에 따르면 경쟁은 생명체들이 발전할 수 있는 교류의 수단이다. 생명체 간의 경쟁이 서로의 삶에 의욕을 불러일으키는 원동력으로 작용하기 때문이다. 반면 제시문 (나)는 본래 진화의 배경은 경쟁이 아닌 공존이라고 말한다. 실제로 대다수의 생명들이 한정된 자원을 얻기 위해 경쟁이 아닌 공생을 선택한다는 것이다.",4
(가)는 홉스의 생각을 바탕으로 경쟁은 항상 우리 주변에 존재하고 공정한 경쟁을 추구해 나가야 한다는 입장이다. (나)는 진화론을 바탕으로 경쟁보다는 공존의 삶을 최대의 가치로 바라보고 있는 입장이다. 두 제시문 모두 경쟁이 피할 수 없는 것이라는 것은 인정한다. 하지만 (가)는 경쟁의 의욕과 노력을 북돋는 긍정적인 면을 강조한다. 서로를 인정하고 공정한 경쟁을 추구하기 위한 방법을 논의하는 것이 필요하다고 덧붙였다. (나)는 경쟁보다는 공생을 통해 화합과 다양성의 삶을 강조한다. 다윈의 진화론은 자연의 다양성이 환경에 더 잘 적응된 방식을 한 가지로 규명하지 않는다고 설명했다.,3
제시문 (가)는 경쟁을 긍정적으로 바라본다. (가)는 경쟁심에 대해 선천적으로 인간이 지닌 본능이라 바라보고 이를 통해 상대방을 인정하고 서로의 노력과 의욕을 고취시킨다. 공정한 경쟁을 위한 방식을 고민함으로써 보완점에 대해서도 논하고 있다. 경쟁의 효용성을 인정하는 (가)와 달리 (나)는 경쟁을 부정적으로 바라본다. (나)는 생물이 다양하게 생존하기 위해 공존과 화합을 추구해야 한다고 주장한다. 경쟁은 승자와 패자를 나누고 적정 기준점을 설정하여 획일화된 모습을 보여준다. 앞으로의 시대는 이러한 행위를 타파하고 다양성을 위해 다함께 더불어 사는 공존의 가치를 강조한다.,4
"위 제시문 [가] 와 [나]는 '경쟁'에 대해 불가피하고 필연적인 현상이라는 공통된 견해를 보이고 있다. 제시문 [가]는 경쟁논리의 필연성을 강조하며 이를 개인의 노력과 의욕을 향상시키는 긍정적 상호작용 이라고 옹호하고 있고 경쟁은 앞으로도 지속될 현상이기 때문에 경쟁을 할것인가 말것인가를 선택하는것이 아니라 공정한 경쟁을 추구해야함을 강조했다. 반면, 제시문 [나]는 다양한 생물 종이 한정된 자원을 쟁취하기 위한 경쟁을 연출하기 보다는 상호 공존하는 방식을 강구하기도 한다고 주장한다. 이에 근거하여 [가]와 달리 경쟁보다는 공생이 진화의 원동력 임을 강조하고 있으며 다양성과 화합이 최대의 가치를 지니는 시대가 도래하고 있음을 역설하였다.",4
"제시문 가와 나는 모두 경쟁에 대하여 논한다.가는 경쟁과 함계해야한다는 입장을 보이나 나는 경쟁보다는 공존을 해야한다는 입장을 보인다.가는 경쟁은 필요 물질 획득을 위해 서로 투쟁하는 것이라 경쟁은 부정할 수 없음을 주장한다. 투쟁이라는 부정적인 점도 있으나 의욕과 노력의 증진이라는 장점도 있다. 따라서, 사회는 경쟁과 함께해야함을 주장한다. 나는 경쟁보다는 공존을 중시하는 입장을 보인다. 생물들은 경쟁이 존재하나 이는 우연적인 것이며 우열의 개념이 없다. 따라서 그들은 경쟁보다는 공존이 진화론적으로 더 바람직함을 주장한다.",3
(가)와 (나)는 경쟁을 불가피하다고 본다.그러나 (가)는 인간의 본능 중 하나인 경쟁이  경쟁자들간의 동기를 고취시키고 긍정적인 상호작용이 가능하다고 보며 경쟁을 지향한다.반면 (나)는 경쟁을 지양하고 사회구성원이 상부상조하여 공존을 추구해야 사회적 가치가 상승된다고 주장한다.,4
(가)와 (나) 모두 경쟁을 불가피한 것으로 보지만 (가)는 경쟁을 긍정적으로 (나)는 부정적으로 평가한다. (가)에서 홉스는 경쟁심을 인간의 본성으로 보았고 이로 인해 경쟁은 불가피하다고 주장한다. 이러한 경쟁은 상대방을 인정하고 참여자의 노력과 사기를 유도한다는 점에서 긍정적 상호작용이다. 반면 (나)는 한정된 자원 때문에 경쟁이 불가피하다고 주장한다. 그럼에도 불구하고 많은 생물 종이 생존할 수 있었던 이유는 공생을 통해 다양성을 보존하고 환경에 적응할 수 있었기 때문이다. 즉 경쟁은 획일성과 반목을 불러일으키기 때문에 부정적 상호작용이다.,5
"(가)와 (나)는 경쟁에 대해 상반된 입장을 보인다. (가)는 경쟁을 긍정적 상호작용이라 본다. 남과 경쟁하고자 하는 마음은 인간 본성이자 사회의 원동력이다. 경쟁은 개인의 능력을 최대치로 이끌었고 이는 또 경쟁을 부추겼다. 따라서 경쟁의 힘으로 건강한 경쟁 사회를 만들자고 주장한다. 반면, (나)는 경쟁을 오해에 기인한 부정적 현상이라고 본다. 오랜 기간 경쟁의 근거가 되었던 진화론은 양육강식도, 적자생존도 주장하지 않는다. 진화론은 다양성이 생태계의 원동력이라고 주장한다. 즉, 다양성을 죽이는 경쟁을 기피하고, 공존하는 삶을 추구하자고 강조한다.",4
"‘경쟁’에 대해서는 제시문 (가)와 제시문 (나)에서 다르게 다루고 있다. (가)는 사회에서의 경쟁을 말한다. 경쟁 사회 속에서 경쟁은 불가피한 것이며 긍정적인 상호작용이라고 주장한 반면 (나)는 생물 간 자원경쟁에 대해 이야기한다. 다양성은 생물체가 진화하게 하지만 자원에 대한 생물의 경쟁을 야기하고 공생이 진화의 원동력이라고 말한다. (가)가 위와 같이 주장한 근거는 경쟁심은 필요한 것을 얻게 해주기 때문이고, (나)는 생명체들이 자원을 차지하기 위해 싸움을 벌이기 보다는 상부상조하려고 하기 때문에 위와 같이 주장한 것이다.",3
"(가)는 경쟁을 필연적인 요소로, (나)는 경쟁을 공존으로 대체될 수 있는 것으로 바라본다. (가)는 경쟁심을 인간의 본능이라고 주장한 홉스의 주장을 바탕으로, 경쟁을 삶의 불가피한 요소라고 제시한다. 또한 경쟁은 서로의 역량을 키우는 긍정적인 상호작용을 이끌어 낼 수 있다. 이러한 경쟁은 언제나 존재했던 것이므로, 공정한 경쟁을 위한 노력이 필요하다고 주장한다. (나)는 경쟁을 지지하는 논리로 쓰이던 진화론이 사실 공존의 논리임을 제시한다. 진화론에서 강약의 우열이 아닌 다양성이 진화의 방식임을 제시하기 때문이다. 따라서 경쟁보다는 공존을 중시하며 살아가야 한다고 주장한다.",4
"가와 나는 경쟁에 대한 서로 다른 입장을 취하고 있다. 가에서 경쟁은 불가피한 것으로 경쟁 자체는 선택하는 것이 아니다. 반면, 나에서는 경쟁의 시대가 가고 공존의 시대가 올 것이라고 주장한다. 가는 경쟁을 인간의 의욕을 고취시킬 수 있는 긍정적 상호작용으로 인식하지만 나는 경쟁을 한정된 자원을 위한 약육강식의 과정으로 인식한다. 가는 경쟁이 사회의 원동력이자 가치라고 주장하는 것에 비해 나는 다양성과 화합이 사회의 최대 가치라고 주장한다. 가는 경쟁의 긍정적인 면을 부각하여 경쟁을 전제 하에 공정함을 말한 것에 반면 나는 경쟁이 아닌 공존의 가치를 부각하여 말한다. ",4
"제시문 (가)와 제시문 (나)는 공통적으로, 경쟁은 불가피한 것이라고 주장하고 있다. 그러나 경쟁 논리에 대해서는 상이한 입장을 보인다.
제시문 (가)는 경쟁을 각자의 의지와 노력을 끌어올릴 수 있는 도구로 삼을 때 긍정적인 효과를 얻을 수 있다고 주장한다. 그러므로 경쟁이 일어나지 않도록 하는 것보다 경쟁의 긍정적 효과에 집중하여 이를 이용해야한다고 본다. 반면, 제시문 (나)는 ‘공생 진화론’을 바탕으로 경쟁보다 모두가 제 이익을 챙기고 공존할 수 있는 상부상조를 강조한다. 이에 대한 근거로 싸움을 벌이기보다 공존을 택한 생물 종들이 다양할 수 있었던 것을 제시한다.",4
두 제시문은 사회에서 일어나는 경쟁에 대한 글로 (가)는 경쟁을 긍정하고 어떻게 경쟁하는지가 중요하다고 생각하는 반면 (나)는 경쟁을 부정하고 공존의 필요성을 주장한다. (가)에 의하면 경쟁은 인간의 본능이기 때문에 경쟁은 필연적이며 경쟁자들은 경쟁하는 과정에서 서로 더 발전할 수 있다. 따라서 경쟁을 피하지 말고 공정한 경쟁을 위해 노력하는 것이 필요하다. 하지만 (나)는 다윈의 진화론을 통해 이를 부정한다. 생물체들은 한정된 자원을 두고 획일적으로 경쟁하기보다는 다양한 형태의 진화를 통해 서로 공존하기를 택한다는 것이다.,4
"제시문 (가)와 (나)는 경쟁의 태도에 대한 차이를 보인다. 전자는 경쟁에 대해 긍정적인 태도를 갖지만 후자는 경쟁에 대한 부정적 태도를 갖는다.
 (가)에서 경쟁은 인간의 삶의 필수 요소이다. 인간은 경쟁을 통해 필요한 것들을 얻을 수 있고 상대와 선의의 경쟁을 하며 자신의 능력을 기를 수 있다. 다만 공정한 경쟁이 될 수 있도록 계속 노력해야한다. 그러나 (나)에서 경쟁은 사회 구성원의 우열을 가려 불평등을 야기한다. 부족한 자원을 얻기 위해 서로를 인정하지 않는 것이다. 때문에 경쟁은 바람직하지 않다.",3
" 제시문 (가)와 (나)는 모두 경쟁이 불가피함을 주장한다. 그런데 경쟁의 발생 원인과 그에 대한 태도에 대해서는 서로 상반된 입장을 보인다. (가)는 경쟁이 인간의 본능으로부터 비롯된다고 주장하지만, (나)는 자원의 한정을 그 원인으로 파악한다. (가)는 경쟁을 사회 발전과 상호 이익을 도모할 수 있는 긍정적인 요소로 인식한다. 경쟁과 발전이 선순환을 이룰 수 있다는 것이다. 반면, (나)는 경쟁을 바람직한 생태계를 이루는 과정에서의 걸림돌이 되는 부정적인 요소로 인식한다. 경쟁보다는 오히려 화합과 공존의 가치를 중시할 때, 삶의 가치를 극대화할 수 있다고 주장한다.",5
"제시문 [가]에서는 경쟁을 사회 발전의 원동력으로 보고 있는 반면 제시문 [나]에서는 경쟁은 생명체의 원동력이 될 수 없다고 본다. [가]는 경쟁으로 인해 더 뛰어난 사람과 그렇지 않은 사람이 구별되며 여기에서 각자의 부족함을 인정할 수 있고, 이를 채우기 위해 노력할 수 있다는 점을 들어 경쟁의 효용성을 주장하고 있다. 이와 달리 [나]에서는 실제 생명체들은 경쟁보다는 공존을 생존 방식으로 택했다는 공생 진화론을 예시로 경쟁은 무의미하다고 주장한다.",4
"제시문 (가)는 경쟁을 인간의 본성으로서 불가피하다고 본다. 경쟁의 불가피함을 순기능으로서 강조하고 있다. 적자생존의 법칙에 따라 강자의 이익만 대변한다는 입장에 반기를 들며 (가)는 경쟁은 사회에 있어서 필수적인 요소로 자리 잡았다고 한다.
제시문 (나)에서는 진화론에 대한 오해를 언급하며 바로잡지만 경쟁을 부정적인 면에서 바라보고 있다. (나)는 경쟁 자체는 부정적인 측면에서 바라보지만 경쟁을 인정하고 공존의 가치를 강조하고 있다.
(가)와 (나)에서는 앞으로도 계속될 경쟁을 기피할 수 없음으로 경쟁을 인정하자고 공통적으로 바라보고 있다.",3
 (가)와 (나)는 모두 경쟁이 필연적으로 발생한다고 본다. 반면 두 제시문은 진화의 원동력과 경쟁에 대해 상이한 관점으로 제시한다.  먼저 (가)는 경쟁의 긍정적인 면을 활용하여 진화의 원동력으로 경쟁이 될 수 있다고 주장한다. 이에 따르면 경쟁은 상대방과 적대감을 형성하는 행위가 아닌 성장을 위한 개인의 의욕과 노력을 고취시키는 활동인 것이다.  한편 (나)는 진화의 원동력은 경쟁이 아닌 공생이라고 주장한다. 이에 따르면 경쟁은 한정된 자원을 차지하기 위한 싸움에 불과하므로 사회 발전을 위해 다양성을 인정하고 더불어 살아가는 공생이 필요한 것이다.,5
" (가)와 (나)는 공통적으로 경쟁이 우리 삶에서 떼어낼 수 없는 불가피한 것이라고 인식한다. 그러나 경쟁 발생의 원인과, 경쟁을 수용하는 태도의 측면에서 차이를 갖는다. 원인의 측면에서 (가)는 경쟁심이 인간의 본능이라고 주장하는 반면 (나)는 한정된 자원으로 인해 불가피하게 경쟁이 발생한다고 본다. 경쟁을 수용하는 태도의 측면에서 (가)는 경쟁이 개개인의 의욕과 노력을 더 이끌어내는 긍정적인 상호작용이라고 간주한다. 반면에, (나)는 다양성과 화합이 최대의 가치로 여겨지는 시대가 도래하고 있기 때문에 경쟁보다는 공존을 추구해야 한다고 주장한다. ",5
" (가)는 인간의 본성인 경쟁심으로부터 개인의 긍정적인 역량을 이끌어내는 경쟁의 순기능을 강조하며 경쟁을 부정적으로 보는 사람들에 대한 오해를 풀고 우리 사회에서 공정한 경쟁은 필수적 요소라고 주장한다.
 (나)는 진화론에 대한 보편적인 통념을 지적하며 여러 생물 종들은 생존을 위해 경쟁이 아닌 공존을 통해 진화하였고 앞으로의 사회에서도 화합을 기반으로 한 공생관계가 지속되어야 한다고 주장한 부분에서 경쟁을 사회 발전의 필수적 요소로 본 (가)의 내용과 상충한다. 또한 (나)는 경쟁을 싸움으로 보는 시각에 그쳤지만, (가)는 경쟁의 다양한 면을 관찰하였다.",3
